Municipio,Año,Subtipo de delito,Casos
Doctor Mora,2020,Homicidio culposo,10.0
Doctor Mora,2020,Homicidio doloso,7.0
Doctor Mora,2021,Homicidio culposo,3.0
Doctor Mora,2021,Homicidio doloso,3.0
Doctor Mora,2022,Homicidio culposo,3.0
Doctor Mora,2022,Homicidio doloso,1.0
Doctor Mora,2023,Homicidio culposo,4.0
Doctor Mora,2023,Homicidio doloso,4.0
Doctor Mora,2024,Homicidio culposo,9.0
Doctor Mora,2024,Homicidio doloso,1.0
Doctor Mora,2025,Homicidio culposo,5.0
Doctor Mora,2025,Homicidio doloso,0.0
Dolores Hidalgo Cuna de la Independencia Nacional,2020,Homicidio culposo,46.0
Dolores Hidalgo Cuna de la Independencia Nacional,2020,Homicidio doloso,44.0
Dolores Hidalgo Cuna de la Independencia Nacional,2021,Homicidio culposo,31.0
Dolores Hidalgo Cuna de la Independencia Nacional,2021,Homicidio doloso,25.0
Dolores Hidalgo Cuna de la Independencia Nacional,2022,Homicidio culposo,37.0
Dolores Hidalgo Cuna de la Independencia Nacional,2022,Homicidio doloso,27.0
Dolores Hidalgo Cuna de la Independencia Nacional,2023,Homicidio culposo,45.0
Dolores Hidalgo Cuna de la Independencia Nacional,2023,Homicidio doloso,21.0
Dolores Hidalgo Cuna de la Independencia Nacional,2024,Homicidio culposo,48.0
Dolores Hidalgo Cuna de la Independencia Nacional,2024,Homicidio doloso,29.0
Dolores Hidalgo Cuna de la Independencia Nacional,2025,Homicidio culposo,49.0
Dolores Hidalgo Cuna de la Independencia Nacional,2025,Homicidio doloso,29.0
Guanajuato,2020,Homicidio culposo,20.0
Guanajuato,2020,Homicidio doloso,46.0
Guanajuato,2021,Homicidio culposo,7.0
Guanajuato,2021,Homicidio doloso,27.0
Guanajuato,2022,Homicidio culposo,4.0
Guanajuato,2022,Homicidio doloso,23.0
Guanajuato,2023,Homicidio culposo,12.0
Guanajuato,2023,Homicidio doloso,30.0
Guanajuato,2024,Homicidio culposo,15.0
Guanajuato,2024,Homicidio doloso,37.0
Guanajuato,2025,Homicidio culposo,10.0
Guanajuato,2025,Homicidio doloso,25.0
Huanímaro,2020,Homicidio culposo,5.0
Huanímaro,2020,Homicidio doloso,9.0
Huanímaro,2021,Homicidio culposo,10.0
Huanímaro,2021,Homicidio doloso,9.0
Huanímaro,2022,Homicidio culposo,2.0
Huanímaro,2022,Homicidio doloso,6.0
Huanímaro,2023,Homicidio culposo,7.0
Huanímaro,2023,Homicidio doloso,5.0
Huanímaro,2024,Homicidio culposo,10.0
Huanímaro,2024,Homicidio doloso,9.0
Huanímaro,2025,Homicidio culposo,7.0
Huanímaro,2025,Homicidio doloso,3.0
Irapuato,2020,Homicidio culposo,233.0
Irapuato,2020,Homicidio doloso,298.0
Irapuato,2021,Homicidio culposo,130.0
Irapuato,2021,Homicidio doloso,219.0
Irapuato,2022,Homicidio culposo,137.0
Irapuato,2022,Homicidio doloso,263.0
Irapuato,2023,Homicidio culposo,159.0
Irapuato,2023,Homicidio doloso,215.0
Irapuato,2024,Homicidio culposo,224.0
Irapuato,2024,Homicidio doloso,261.0
Irapuato,2025,Homicidio culposo,189.0
